"nome","instagram","email_publico","contato","motivo"
"Prospecção fitness 01","@fitnessbrasil01","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 02","@fitnessbrasil02","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 03","@fitnessbrasil03","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 04","@fitnessbrasil04","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 05","@fitnessbrasil05","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 06","@fitnessbrasil06","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 07","@fitnessbrasil07","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 08","@fitnessbrasil08","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 09","@fitnessbrasil09","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 10","@fitnessbrasil10","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 11","@fitnessbrasil11","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 12","@fitnessbrasil12","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 13","@fitnessbrasil13","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 14","@fitnessbrasil14","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 15","@fitnessbrasil15","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 16","@fitnessbrasil16","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 17","@fitnessbrasil17","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 18","@fitnessbrasil18","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 19","@fitnessbrasil19","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 20","@fitnessbrasil20","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 21","@fitnessbrasil21","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 22","@fitnessbrasil22","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 23","@fitnessbrasil23","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 24","@fitnessbrasil24","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 25","@fitnessbrasil25","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 26","@fitnessbrasil26","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 27","@fitnessbrasil27","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 28","@fitnessbrasil28","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 29","@fitnessbrasil29","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 30","@fitnessbrasil30","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 31","@fitnessbrasil31","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 32","@fitnessbrasil32","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 33","@fitnessbrasil33","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 34","@fitnessbrasil34","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 35","@fitnessbrasil35","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 36","@fitnessbrasil36","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 37","@fitnessbrasil37","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 38","@fitnessbrasil38","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 39","@fitnessbrasil39","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 40","@fitnessbrasil40","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 41","@fitnessbrasil41","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 42","@fitnessbrasil42","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 43","@fitnessbrasil43","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 44","@fitnessbrasil44","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 45","@fitnessbrasil45","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 46","@fitnessbrasil46","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 47","@fitnessbrasil47","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 48","@fitnessbrasil48","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 49","@fitnessbrasil49","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"
"Prospecção fitness 50","@fitnessbrasil50","não localizado","DM Instagram","microcriador para conteúdo de suplementos e comparação"

